"name","best","seed"
"ta094",1034546,1665710893
"ta095",1039628,1194770554
"ta096",1015764,1551472894
"ta097",1061382,497028337
"ta098",1043761,1106195929
"ta099",1026397,1666257001
"ta100",1033241,1491667705
"ta101",1228329,1292508538
"ta102",1242351,3477910976
"ta103",1264859,889101598
"ta104",1242010,3005803408
"ta105",1223221,2752148527
"ta106",1223320,270598650
"ta107",1248009,3629590658
"ta108",1248965,3635614173
"ta109",1231450,248347047
"ta110",1246459,338722722
"ta111",6702393,456880788
"ta112",6825420,3308557466
"ta113",6726179,1116840729
"ta114",6788450,1625640491
"ta115",6732490,3287128630
"ta116",6719847,3801379257
"ta117",6686118,2890570940
"ta118",6773970,2792023198
"ta119",6694229,330989895
"ta120",6746510,2522477739
"ta001",14002,3484243956
"ta002",15151,3940185981
"ta003",13014,882869585
"ta004",15412,2130608507
"ta005",13472,2200189805
"ta006",13072,2514189076
"ta007",13479,3188234398
"ta008",13882,3368748172
"ta009",14047,3241551124
"ta010",12907,2479067316
"ta011",20657,1071088582
"ta012",22374,358969007
"ta013",19548,2333800519
"ta014",18483,3068632085
"ta015",18343,1408182180
"ta016",18928,2366500250
"ta017",18073,757679101
"ta018",20006,530340281
"ta019",20106,3618179913
"ta020",21015,3029459061
"ta021",33485,2939883496
"ta022",31110,2825492229
"ta023",33257,2152598894
"ta024",31316,1661624797
"ta025",34199,3936089745
"ta026",32035,2290121275
"ta027",32858,2818509769
"ta028",32184,2132984037
"ta029",33078,147088542
"ta030",31736,3361890004
"ta031",64740,2251118165
"ta032",68022,2660279858
"ta033",63241,3646037579
"ta034",68386,3029198628
"ta035",69369,1215336391
"ta036",66710,3037324725
"ta037",66224,838982773
"ta038",64285,1512514639
"ta039",62880,3450391470
"ta040",68859,2359203179
"ta041",87059,1691537598
"ta042",82730,3818560559
"ta043",79704,3718296347
"ta044",86161,833406186
"ta045",86296,3171363121
"ta046",86472,235105444
"ta047",88654,1066937013
"ta048",86831,3458732790
"ta049",85238,2758379330
"ta050",87714,1003028193
"ta051",125207,1610182599
"ta052",117811,1429343056
"ta053",115970,2531748206
"ta054",120006,4264847800
"ta055",117511,1540355856
"ta056",120509,891844572
"ta057",123097,1267882240
"ta058",121721,196526995
"ta059",121201,3174494760
"ta060",123593,1906705422
"ta061",254610,1339079337
"ta062",243451,3909757904
"ta063",238642,1197834567
"ta064",228358,2934636858
"ta065",241184,3841381262
"ta066",233788,2227588334
"ta067",241223,2704026746
"ta068",231757,1171557013
"ta069",249287,2534591772
"ta070",244054,3082085366
"ta071",299858,2085630418
"ta072",275668,3694666013
"ta073",289986,493250518
"ta074",303870,228143444
"ta075",284931,1419447861
"ta076",271448,2646876111
"ta077",281101,2690563058
"ta078",291988,2988529459
"ta079",303594,1376111820
"ta080",293004,3179944364
"ta081",367789,3109376906
"ta082",372575,395971344
"ta083",371537,2231656619
"ta084",373237,2323000498
"ta085",367198,14590083
"ta086",372414,1716707288
"ta087",375547,2847916833
"ta088",385042,3096344140
"ta089",375732,179773652
"ta090",378074,2559177920
"ta091",1048671,1286894456
"ta092",1042072,1458015226
"ta093",1049720,1710552280
"ta094",1034568,2389814777
"ta095",1038105,3400923538
"ta096",1010694,1695595878
"ta097",1056816,3670581329
"ta098",1046986,2401746147
"ta099",1028060,3400609271
"ta100",1034733,2966434926
"ta101",1225444,1188429295
"ta102",1246041,3930422155
"ta103",1267196,1684366203
"ta104",1239799,2293823429
"ta105",1223946,3819698828
"ta106",1228211,2493922709
"ta107",1248053,3692435620
"ta108",1245826,3144964730
"ta109",1234766,4227729495
"ta110",1249851,2936809257
"ta111",6692598,284088693
"ta112",6825259,1517572495
"ta113",6739803,232609354
"ta114",6773745,3454240815
"ta115",6733672,2139388565
"ta116",6717536,2329511403
"ta117",6685992,413828272
"ta118",6762448,471323924
"ta119",6698768,3071376086
"ta120",6741282,1775841466
"ta001",14000,3383383606
"ta002",15151,2149110885
"ta003",13014,110417343
"ta004",15412,1342178767
"ta005",13472,1075738162
"ta006",13072,1629929219
"ta007",13479,3617647234
"ta008",13882,2891287624
"ta009",14047,2104036722
"ta010",12907,2789140368
"ta011",20650,376090848
"ta012",22374,3126747992
"ta013",19548,3241773470
"ta014",18483,3848922934
"ta015",18343,1263618325
"ta016",18998,4148576171
"ta017",18073,1166891031
"ta018",20006,4108914532
"ta019",20106,636875194
"ta020",21015,635034922
"ta021",33540,2182481363
"ta022",31130,747910466
"ta023",33367,3485826950
"ta024",31182,159537212
"ta025",34205,3910474556
"ta026",32085,3493387924
"ta027",32841,4093336759
"ta028",32141,1572181104
"ta029",33219,1914194812
"ta030",31813,1422782285
"ta031",64863,144186708
"ta032",68154,646163756
"ta033",63355,3444397234
"ta034",68246,3610418667
"ta035",69467,1985523085
"ta036",66980,3328463919
"ta037",66054,1453575150
"ta038",64357,1768271450
"ta039",62961,3432431059
"ta040",68984,2104020441
"ta041",87425,1167637120
"ta042",82605,1147707471
"ta043",79459,3344279325
"ta044",86315,476225620
"ta045",86155,1516747868
"ta046",86434,418973884
"ta047",88789,3925305701
"ta048",86457,2209525532
"ta049",85519,819983579
"ta050",88114,1188982240
"ta051",124752,4100125918
"ta052",118331,2138916372
"ta053",116019,3102127821
"ta054",120226,3311896515
"ta055",117793,3519969213
"ta056",120142,3817530287
"ta057",122401,2483459796
"ta058",122392,3776748286
"ta059",121708,497550434
"ta060",123750,719696068
"ta061",254249,875451583
"ta062",243818,2604577622
"ta063",238943,3612794182
"ta064",228481,112213327
"ta065",241432,1777432412
"ta066",233399,3208641602
"ta067",241358,1901942396
"ta068",231745,1463098357
"ta069",248843,209283148
"ta070",244501,2603320631
"ta071",300017,1394081774
"ta072",275122,318586598
"ta073",288953,2656551418
"ta074",302431,2795560610
"ta075",284636,1682851633
"ta076",271131,3890757750
"ta077",281359,3864297250
"ta078",292982,1303213919
"ta079",303356,1063153456
"ta080",292268,3339535413
"ta081",365936,1297426386
"ta082",373205,1357754496
"ta083",371805,3502647215
"ta084",372316,1639216630
"ta085",367582,3351694235
"ta086",372533,4212952096
"ta087",374245,1260089091
"ta088",384658,675917147
"ta089",373650,3754377560
"ta090",379806,1783469858
"ta091",1049639,1441774327
"ta092",1043270,4041087692
"ta093",1049020,1987329182
"ta094",1036331,1590215971
"ta095",1039943,2689582827
"ta096",1013235,1426010968
"ta097",1055360,3927791851
"ta098",1046283,3042602616
"ta099",1025695,2083404777
"ta100",1033884,751025825
"ta101",1224789,1110632706
"ta102",1243288,3386284552
"ta103",1270423,2795644533
"ta104",1241203,3597756283
"ta105",1223729,2706467057
"ta106",1227437,3524678838
"ta107",1244582,1781786664
"ta108",1249205,3571958884
"ta109",1229883,2549168832
"ta110",1245646,4134943650
"ta111",6685529,2973933479
"ta112",6832327,3884259874
"ta113",6733485,2505456312
"ta114",6784678,3761423256
"ta115",6735881,1048891492
"ta116",6724758,322735612
"ta117",6679504,618476384
"ta118",6759744,1438906392
"ta119",6697472,2445979608
"ta120",6742765,4104656309
"ta001",14000,1353861816
"ta002",15151,3452393123
"ta003",12956,2622877943
"ta004",15412,1112793238
"ta005",13472,2880231745
"ta006",13072,2317574584
"ta007",13479,160483865
"ta008",13882,3156760578
"ta009",14047,3806285424
"ta010",12907,2015791079
"ta011",20650,1565880545
"ta012",22374,1724664811
"ta013",19548,3746961804
"ta014",18483,1761634092
"ta015",18343,1771646587
"ta016",18843,1671602547
"ta017",18089,2140189097
"ta018",20034,45077036
"ta019",20106,1837054870
"ta020",20872,4167237532
"ta021",33540,1571137943
"ta022",31208,2344067947
"ta023",33358,1608425468
"ta024",31316,4046482290
"ta025",34199,1560075721
"ta026",32261,4206267253
"ta027",32815,2455330192
"ta028",32141,2073320003
"ta029",33078,1526944685
"ta030",31776,114417588
"ta031",64781,758190550
"ta032",68054,2479422418
"ta033",63245,628295369
"ta034",68350,3220295189
"ta035",69451,3529272226
"ta036",66972,1519425304
"ta037",66262,1808200024
"ta038",64258,1608115548
"ta039",63018,3495005429
"ta040",68878,3543950074
"ta041",87355,371934414
"ta042",82694,607490531
"ta043",79614,903137103
"ta044",86491,1747762953
"ta045",85899,4154874831
"ta046",86550,103257533
"ta047",88811,2732580334
"ta048",86644,264170345
"ta049",85517,812361956
"ta050",87710,678526448
"ta051",125094,441300079
"ta052",117625,3934683909
"ta053",115733,4281888094
"ta054",120541,721843294
"ta055",117117,3965215206
"ta056",119917,2510308788
"ta057",123089,626014866
"ta058",121289,3841599486
"ta059",121304,1816304462
"ta060",123908,3817221017
"ta061",254081,905078961
"ta062",243662,682196726
"ta063",238936,4121100558
"ta064",228659,2681528181
"ta065",241451,380069158
"ta066",233682,1770740061
"ta067",241072,564185869
"ta068",231691,2498256943
"ta069",249018,1651474309
"ta070",244284,1238065871
"ta071",300368,2243164395
"ta072",275155,3655826859
"ta073",289635,2772722836
"ta074",301162,450927114
"ta075",284746,1206233057
"ta076",270518,3990438830
"ta077",280718,2863182588
"ta078",292491,2492150267
"ta079",304272,3112440765
"ta080",293156,2224298576
